Compound,Weight (g/mol),Additives,Additives,Temp ©,CMC,,Qual. Mat. Meth.,Method,Authors,Reference,Source,Evaluation,Canonical SMILES,,,
SODIUM DODECYL SULFATE,288.3,,,20,8.25E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM OCTYL 1 SULFATE,232.2,,,20,1.33E-01,M,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,3,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM OCTYL 1 SULFATE,232.2,,,20,1.34E-01,W,BB,INTERFACIAL TENSION LOGM,HAYD TAYL,62004,L,3,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DODECYL SULFATE,288.3,1.E-1 M,NA BR,21,4.10E-02,D,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.E-2 M,NA CL,21,1.62E-01,D,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.E-2 M,NA CL,21,1.52E-01,D,BB,SURFACE TENSION LOG PLOT,HUIS,64047,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,3.E-2 M,NA CL,21,9.20E-02,D,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.E-1 M,NA CL,21,4.30E-02,D,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.E-2 M,NA F,21,1.61E-01,D,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,T,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.E-1 M,NA F,21,4.20E-02,D,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.E-2 M,NA I,21,1.62E-01,D,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,3.E-2 M,NA I,21,9.00E-02,D,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.E-1 M,NA I,21,4.00E-02,D,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.E-1 M,NA BR,21,4.10E-02,D,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.E-2 M,NA CL,21,1.62E-01,D,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.E-2 M,NA CL,21,1.52E-01,D,BB,SURFACE TENSION LOG PLOT,HUIS,64047,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,3.E-2 M,NA CL,21,9.20E-02,D,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.E-1 M,NA CL,21,4.30E-02,D,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.E-2 M,NA F,21,1.61E-01,D,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.E-1 M,NA F,21,4.20E-02,M,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.E-2 M,NA I,21,1.62E-01,D,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,3.E-2 M,NA I,21,9.00E-02,D,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.E-1 M,NA I,21,4.00E-02,D,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM OCTYL 1 SULFATE,232.2,,,21,3.10E-01,D,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,T,3,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM OCTYL 1 SULFATE,232.2,3. E-2 M NA CL,,21,2.80E-01,D,BA,SPECFC CONDCTNCE EQUATNS,GOOD BENS,57011,T,3,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM OCTYL 1 SULFATE,232.2,1. E-1 M NA CL,,21,2.37E-01,D,,,,,T,,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM OCTYL 1 SULFATE,232.2,3. E-1 M NA CL,,21,1.60E-01,D,,,,,T,,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM OCTYL 1 SULFATE,232.2,1. E 0 M NA CL,,21,8.00E-01,D,,,,,T,,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DODECYL SULFATE,288.3,9.495E 1 C,3,25,2.65E-02,M,BA,EQUIV CONDCTNCE GRAPH,MYSE OTTE,61017,T,2,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,8.466E 1 C,3,25,1.91E-02,M,BA,EQUIV CONDCTNCE GRAPH,MYSE OTTE,61017,T,2,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,7.100E 1 C,3,25,1.50E-02,M,BA,EQUIV CONDCTNCE GRAPH,MYSE OTTE,61017,T,2,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.998E 1 C,3,25,1.28E-02,M,BA,EQUIV CONDCTNCE GRAPH,MYSE OTTE,61017,T,2,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,4.912E 1 C,3,25,1.12E-02,M,CA,EQUIV CONDCTNCE GRAPH,MYSE OTTE,61017,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,3.478E 1 C,3,25,9.88E-03,M,CA,EQUIV CONDCTNCE GRAPH,MYSE OTTE,61017,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.006E 1 C,3,25,8.54E-03,M,CA,EQUIV CONDCTNCE GRAPH,MYSE OTTE,61017,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.025E 1 C,3,25,8.54E-03,M,CA,EQUIV CONDCTNCE GRAPH,MYSE OTTE,61017,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.078E 1 C,3,25,8.32E-03,M,CA,EQUIV CONDCTNCE GRAPH,MYSE OTTE,61017,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.00 E 2 A,DEUTERIUM OXIDE,25.0,8.05E-03,M,BA,SPECFC CONDCTNCE EQUATNS,MUKE KAPA,66002,T,2,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.5 E 1 H,DIOXANE,25,3.00E-02,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.0 E 1 H,DIOXANE,25,2.12E-02,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.5 E 1 H,DIOXANE,25,1.31E-02,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.0 E 1 H,DIOXANE,25,9.00E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,7.E 0 H,DIOXANE,25,8.50E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5. E 0 H,DIOXANE,25,8.06E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,3.E 0 H,DIOXANE,25,8.01E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.E 0 H,DIOXANE,25,7.70E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.498E 1 P,ETHANOL,25,1.07E-02,M,BB,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9.27 E 0 P,ETHANOL,25,5.96E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.E-1 M,NA CL,25,9.00E-04,M,BA,SPECFC CONDCTNCE GRAPH,MYSE MYSE,65018,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,3.E-2 M,NA CL,25,9.18E-02,D,BB,FOTOMTR SOLUBLZTN OROT,SCHO,66036,T,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,3.E-2 M,NA CL,25,9.03E-02,D,BA,SPECFC CONDCTNCE GRAPH,WILL MYSE,55005,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,3.E-2 M,NA CL,25,9.00E-02,D,BB,FOTOMTR SOLUBLZTN OROT,WILL MYSE,55005,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.00E-1 M,NA CL,25,4.30E-02,D,BA,SPECFC CONDCTNCE GRAPH,WILL MYSE,55005,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.000E 3 Y,PRESSURE,25,9.45E-03,W,BA,SPECFC CONDCTNCE GRAPH,HAMA,62036,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.500E 3 Y,PRESSURE,25,9.36E-03,W,BA,SPECFC CONDCTNCE GRAPH,HAMA,62036,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.00 E 2 Y,PRESSURE,25,9.09E-03,W,BA,SPECFC CONDCTNCE GRAPH,HAMA,62036,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.000E 3 Y,PRESSURE,25,9.09E-03,W,BA,SPECFC CONDCTNCE GRAPH,HAMA,62036,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,3. E 0 D,SUCROSE,25,7.10E-03,M,CB,EQUIV CONDCTNCE GRAPH,NAKA KAWA,64034,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,25,2.36E-01,D,BB,DEBYE PLT LIGHT SCATTER,WILL MYSE,55005,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,25,2.34E-01,D,BA,FOTOMTR SOLUBLZTN OROT,WILL MYSE,55005,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,25,2.33E-01,D,BA,EQUIV CONDCTNCE GRAPH,WILL MYSE,55005,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,25,2.32E-01,D,BA,FOTOMTR SOLUBLZTN OROT,SCHO,66036,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,25,8.40E-03,M,BA,SPECFC CONDCTNCE GRAPH,ELWO MYSE,66007,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,25,8.39E-03,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,25,8.30E-03,M,BB,SURFACE TNSN LINEAR PLOT,MIUR MATS,57025,TA,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,25,8.27E-03,W,BA,SPECFC CONDCTNCE GRAPH,HAMA,62036,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,25.0,8.27E-03,M,BA,SPECFC CONDCTNCE EQUATNS,MUKE KAPA,66002,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,25,8.20E-03,M,AA,SURFACE TNSN LINEAR PLOT,ELWO MYSE,66007,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,25,8.16E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,25,8.15E-03,M,AB,SURFACE TENSION LOG PLOT,ELWO MYSE,66007,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,25,8.10E-03,M,BA,EQUIV CONDCTNCE GRAPH,GODD HIGH,55018,K,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,3.E-2 M,NA CL,25,9.00E-02,D,BB,FOTOMTR SOLUBLZTN OROT,WILL MYSE,55005,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,3.E-2 M,NA CL,25,9.03E-02,D,BA,SPECFC CONDCTNCE GRAPH,WILL MYSE,55005,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,3.E-2 M,NA CL,25,9.18E-02,D,BB,FOTOMTR SOLUBLZTN OROT,SCHO,66036,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.00E-1 M,NA CL,25,4.30E-02,D,BA,SPECFC CONDCTNCE GRAPH,WILL MYSE,55005,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.E-1 M,NA CL,25,9.00E-04,M,BA,SPECFC CONDCTNCE GRAPH,MYSE MYSE,65018,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.00 E 2 Y,PRESSURE,25,9.09E-03,W,BA,SPECFC CONDCTNCE GRAPH,HAMA,62036,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.000E 3 Y,PRESSURE,25,9.45E-03,W,BA,SPECFC CONDCTNCE GRAPH,HAMA,62036,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.500E 3 Y,PRESSURE,25,9.36E-03,W,BA,SPECFC CONDCTNCE GRAPH,HAMA,62036,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.000E 3 Y,PRESSURE,25,9.09E-03,W,BA,SPECFC CONDCTNCE GRAPH,HAMA,62036,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,3. E 0 D,SUCROSE,25,7.10E-02,M,CB,EQUIV CONDCTNCE GRAPH,NAKA KAWA,64034,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.078E 1 C,3,25,8.32E-02,M,CA,EQUIV CONDCTNCE GRAPH,MYSE OTTE,61017,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.006E 1 C,3,25,8.54E-02,M,CA,EQUIV CONDCTNCE GRAPH,MYSE OTTE,61017,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.025E 1 C,3,25,8.54E-02,M,CA,EQUIV CONDCTNCE GRAPH,MYSE OTTE,61017,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,3.478E 1 C,3,25,9.88E-02,M,CA,EQUIV CONDCTNCE GRAPH,MYSE OTTE,61017,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,4.912E 1 C,3,25,1.12E-02,M,CA,EQUIV CONDCTNCE GRAPH,MYSE OTTE,61017,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.998E 1 C,3,25,1.28E-02,M,BA,EQUIV CONDCTNCE GRAPH,MYSE OTTE,61017,T,2,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,7.100E 1 C,3,25,1.50E-02,M,BA,EQUIV CONDCTNCE GRAPH,MYSE OTTE,61017,T,2,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,8.466E 1 C,3,25,1.91E-02,M,BA,EQUIV CONDCTNCE GRAPH,MYSE OTTE,61017,T,2,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9.495E 1 C,3,25,2.65E-02,M,BA,EQUIV CONDCTNCE GRAPH,MYSE OTTE,61017,T,2,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM OCTYL 1 SULFATE,232.2,,,25,1.30E-01,W,,,,,L,,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DODECYL SULFATE,288.3,5.03 E 0 H,PROPANOL-1,25.2,3.80E-03,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
