CMPD_CHEMBLID,ID,Log_p,smiles
CHEMBL2158534,81,2,CC1(CC1)c2nc(ncc2C(=O)N[C@@H]3C4CC5CC3C[C@@](O)(C5)C4)N6CCOCC6
CHEMBL492234,82,2.6,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc3N(C)SC(=O)c3c2)c1
CHEMBL131921,83,3.5,COc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O
CHEMBL21731,84,0.89,CNCCCC12CCC(c3ccccc13)c4ccccc24
CHEMBL346528,85,1.3,Oc1cc(nc2ccnn12)c3ccccc3
CHEMBL133501,86,2.01,Fc1cc(cc(F)c1C2=CCN(CC2)C=O)N3C[C@H](COc4ccon4)OC3=O
CHEMBL2087854,87,3.59,CC(C#C)N1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c3C1=O)c6cncn6C
CHEMBL1689126,88,0.18,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc3ccccc3
CHEMBL1650728,89,2.6,COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Br)n[nH]1
CHEMBL2178942,90,1.3,Cc1nc(C)c(nc1C(=O)N)c2ccc([C@@H]3CC[C@@H](CC(=O)O)CC3)c(F)c2
CHEMBL1800528,91,2.1,COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1
CHEMBL143305,92,3.72,Cc1cc(CCCOc2c(Cl)cc(cc2Cl)C3=NCCO3)on1
CHEMBL2326481,93,1.72,CN(C)C(=O)c1ccc(CN2CCc3cc4nc(N)sc4cc3CC2)cc1
CHEMBL15245,94,1.65,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12
CHEMBL1852688,95,3.7,CCN1CCN(CC1)c2ccc(Nc3cc(ncn3)N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)cc2
CHEMBL2171169,96,2.2,CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]2O[C@H]([C@H](O)[C@@H]2O)n3cnc4c(N)ncnc34
CHEMBL2216830,97,2.04,CCN(CC)CCCCNc1ncc2CN(C(=O)N(Cc3cccc(NC(=O)C=C)c3)c2n1)c4c(Cl)c(OC)cc(OC)c4Cl
CHEMBL381098,98,4.49,CCSc1c(Cc2ccccc2C(F)(F)F)sc3N(CC(C)C)C(=O)N(C)C(=O)c13
CHEMBL284275,99,0.2,COc1ccc(Cc2c(N)n[nH]c2N)cc1
CHEMBL2177167,100,2,CCN(CCN(C)C)S(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)C(=O)Nc3cccnc3
CHEMBL2331746,101,1.49,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4ccccc4)c3)C(=O)NC1=O
CHEMBL1712280,102,4.28,C1Oc2ccccc2C3=NN(CC13)c4ccccc4
CHEMBL1790041,103,-0.95,CNC(=C[N+](=O)[O-])NCCSCc1oc(CN(C)C)cc1
CHEMBL1184060,104,1.64,CC(C)CC(N1NC(=O)c2nc3cc(Cl)ccc3c(O)c2C1=O)c4ccncc4
CHEMBL1502799,105,2.02,FC(F)c1nc2ccccc2[nH]1
CHEMBL2208436,106,3.09,O[C@@H](CNC1CCN(Cc2ccc(Cl)c(Cl)c2)CC1)COc3cccc(c3)C#N
CHEMBL480445,107,2.18,COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1N4CCN(C)CC4
CHEMBL1392670,108,4.4,Oc1ccccc1OC(=O)c2cccc3ccccc23
CHEMBL1455477,109,3.28,COc1ccccc1CNc2cc(C)ccn2
CHEMBL1939414,110,3.04,Nc1nc(Nc2cccc(Br)c2)c3nc[nH]c3n1
CHEMBL1617016,111,3.12,Nc1c2CCN(c3ccccc3)c2nc4ccc(Br)cc14
CHEMBL2207600,112,0.06,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)N(c2ccc(C)cc2)c3ccc(C)cc3
CHEMBL244213,113,2.49,OC(C(=O)c1ccc(F)cc1)c2ccc(F)cc2
CHEMBL404957,114,1.11,CC(C)C[C@H](N)c1oc(nn1)S(=O)(=O)Cc2ccc(F)cc2
CHEMBL520252,115,2.81,CC(C)COc1cccc(c1)C(=O)Nc2ccc(C)c(c2)C(=O)Nc3cccnc3
CHEMBL190747,116,3.52,COc1ccc(OC)c(CNC(=O)c2cccnc2Oc3ccccc3)c1
CHEMBL1079175,117,2.5,NC1(CCC1)c2ccc(cc2)c3nc4C=CN5C(=O)NN=C5c4cc3c6ccccc6
CHEMBL1499868,118,4.48,CC(C(Cc1nc2ccccc2[nH]1)c3nc4ccccc4[nH]3)c5ccccc5
CHEMBL1824042,119,1.33,Clc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1
CHEMBL2158827,120,1.83,OC(=O)Cc1ccc(cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
CHEMBL520925,121,3.6,COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3F)c2cc1OC
CHEMBL181502,122,3.2,CN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)C4CCC4
CHEMBL1962631,123,-0.56,NC(=N)NC(=O)c1nc(Cl)c(NCc2ccccn2)nc1N
CHEMBL470915,124,3.53,Nc1c(NC2CC3CCC2C3)nc(nc1N4CCOCC4)C#N
CHEMBL1163803,125,4.3,CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4c(F)cccc4F
CHEMBL598194,126,2.88,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(Cl)cc4
CHEMBL42,127,3.08,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24
CHEMBL2178954,128,1,Cc1ncc(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3
CHEMBL373250,129,2.4,Cn1ncnc1COc2nn3c(nnc3cc2C(C)(C)C)c4cc(F)ccc4F
CHEMBL1169388,130,1.89,CNCC[C@H](Oc1ccc(cc1)C(F)(F)F)c2ccccc2
CHEMBL2171046,131,1.52,Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)cc4Cl
CHEMBL144960,132,3.33,O=C1C=COc2cc(OCc3ccccc3)ccc12
CHEMBL271023,133,0.79,[O-][S+](c1ccccc1)c2ccc3nnnn3n2
CHEMBL90531,134,3.2,[O-][N+](=O)c1ccc2OC(CN(c2c1)c3cccc[n+]3[O-])(C(F)F)C(F)F
CHEMBL645,135,0.1,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
CHEMBL2178950,136,0.22,Cc1ncc(nc1c2ccc(cc2)[C@@H]3CC[C@H](CC3)C(=O)O)C(=O)N
CHEMBL2178393,137,2,Nc1nnc(CCSCCc2nnc(NC(=O)Cc3ccccc3)s2)s1
CHEMBL1809049,138,4,COc1cc(OC2CCN(CC2)C(=O)C)ccc1Nc3ncc(Cl)c(n3)c4cnc5ccccn45
CHEMBL1373079,139,2.71,COc1ccc(cc1)C2=CC(=O)c3ccccc3N2
CHEMBL74380,140,0.7,COC1\C=C\OC2(C)Oc3c(C)c(O)c4C(=O)C(=CC(=O)c4c3C2=O)NC(=O)\C(=C/C=C/C(C)C(O)C(C)C(O)C(C)C(OC(=O)C)C1C)\C
CHEMBL257600,141,3.67,CN1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c6cc(cn6C)C#N)c3C1=O
CHEMBL1362558,142,0.87,CN1SC(=NC1=O)NC(=O)c2cccc(Cl)c2
CHEMBL2059861,143,2.83,Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4nccn4C
CHEMBL235191,144,0.82,CC(=O)Nc1ccc(cc1)C(=O)Nc2ccccc2N
CHEMBL197536,145,1,Oc1ccc2C(=O)C=C(Oc2c1)N3CCOCC3
CHEMBL1086580,146,3.07,Oc1nc(nc2CCSCc12)c3ccc(cc3)C(F)(F)F
CHEMBL1290331,147,3.07,Clc1ccc(N2CCN(CC2)C(=O)COCc3cscn3)c(Cl)c1
CHEMBL203370,148,1.6,Oc1ccc(cc1)N2C=Nc3cc(O)ccc3C2=O
CHEMBL1945035,149,1.58,O[C@@H](CNCCc1ccccc1CNCCc2ccccc2F)c3ccc(O)c4NC(=O)Sc34
CHEMBL551360,150,2.62,OCC(CO)N1C=Cc2c(NC(=O)CC34CC5CC(CC(C5)C3)C4)cccc2C1=O
CHEMBL1783284,151,3.37,COc1ccc(c(OC)n1)c2c(F)ccc3c(N)c(nnc23)C(=O)NC4CC4
CHEMBL1909734,152,2.68,Clc1ccccc1c2cnn[nH]2
CHEMBL1481866,153,1.7,NC(=O)c1ccc(Oc2cccc3cccnc23)c(c1)[N+](=O)[O-]
CHEMBL1831079,154,2.21,NC(=O)Nc1cc(sc1C(=O)N)c2cccc(O)c2
CHEMBL437,155,-0.37,Nc1ccc(cc1)S(=O)(=O)Nc2nccs2
CHEMBL272105,156,2.49,COC(=O)C1=Nc2c(N[C@H](C)CO)nc(SCc3cccc(F)c3F)nc2NC1=O
CHEMBL1940108,157,3.11,COc1cccc(NC(=O)Cn2cc(Oc3ncnc4cc(OC)c(OC)cc34)cn2)c1
CHEMBL370252,158,0.74,CC1CCc2cc(F)cc3C(=O)C(=CN1c23)C(=O)O
CHEMBL205245,159,1.61,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cn3c(C)nc(Cl)c3Cl)c2C(=O)N4CC[C@@H](O)C4
CHEMBL2070946,160,1.2,O=C(NC1(CC1)C#N)[C@@H]2CCCC[C@H]2C(=O)N3CCN(CC3)c4ncc(C#N)s4
CHEMBL443320,161,-1.34,Cc1ccc(NC(=N)N)cc1C
CHEMBL1779497,162,1.26,Clc1ccc(cc1C(=O)NCC2CCCCC2)N3N=CC(=O)NC3=O
CHEMBL1332736,163,1.3,O=C(Oc1ccccc1)N2CCOCC2
CHEMBL2070948,164,1.9,CC(C)(C#N)c1cnc(s1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC4(CC4)C#N
CHEMBL1732699,165,3,FC(F)(F)c1nnc2ccc(nn12)N3CCCCC3
CHEMBL1917433,166,0.21,Cc1c(Sc2ccc(Cl)cc2)c3c(NS(=O)(=O)C)cccc3n1CC(=O)O
CHEMBL2141746,167,1.55,CCCNC(=O)CSc1ccc(cn1)S(=O)(=O)N2CCCC2
CHEMBL256576,168,2.82,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc5ccccn5)c3)c12)C(=O)N6CCOCC6
CHEMBL87388,169,3.52,COc1ccc(Cn2cc3N(CC(C)C)C(=O)N(C)C(=O)c3c2)cc1
CHEMBL150606,170,3.2,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCn4cncn4
CHEMBL8809,171,1.09,CCN1CCC[C@H]1CNC(=O)c2c(O)c(Cl)cc(Cl)c2OC
CHEMBL1233655,172,0.55,CC(=O)Nc1nc(C)c(s1)c2cnc(F)c(NS(=O)(=O)c3sc(C)nc3C)c2
CHEMBL384962,173,1.78,Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4ccc(cc34)C(F)(F)F
CHEMBL1542764,174,1.43,CSc1ncccc1C(=O)Nc2nccs2
CHEMBL2181927,175,2.51,CCOc1ncc(C)c2NC(=C([C@@H](c3ccc(cc3OC)C#N)c12)C(=O)N)C
CHEMBL2334590,176,2.49,Cc1nc2ccc(Cl)cn2c1c3ccnc(N)n3
CHEMBL1480987,177,2.31,CC1CC(CC(C)(C)C1)OC(=O)C(O)c2ccccc2
CHEMBL2335898,178,3.34,C[C@@H](NC(=O)C1CCCCN1C)c2ccc(Nc3ncc4cc(ccc4n3)c5ccncc5)cc2
CHEMBL401193,179,4.13,CN(C)C(=O)CN1CCN(CCc2c([nH]c3sc(cc23)C(C)(C)C(=O)N4C5CCC4CC5)c6cc(C)cc(C)c6)CC1
CHEMBL1950851,180,3.12,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(F)cc2)C1)C(C)(C)C
CHEMBL2035030,181,2.2,NC1(CCC1)c2ccc(cc2)c3ncc4ccncc4c3c5ccccc5
CHEMBL111955,182,1.77,CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NS(=O)(=O)C)C(=O)C(F)(F)F
CHEMBL316388,183,1.5,C[C@@H]1CN([C@@H](C)CN1C(=O)c2ccc(cc2)C#N)C(=O)[C@@](C)(O)C(F)(F)F
CHEMBL248380,184,2.5,CCOc1ccccc1c2ccc(cc2)c3nc4ccc(F)cc4c(N[C@H](C)C(=O)O)c3C#N
CHEMBL235581,185,1.49,Clc1ccc(CC2CCNCC2)cc1C(=O)NCC34CC5CC(CC(C5)C3)C4
CHEMBL1682940,186,3.17,CC[C@H](NC(=O)c1c(c(nc2ccccc12)c3ccccc3)S(=O)(=O)C)c4ccccc4
CHEMBL1471868,187,3.19,Fc1ccc(NC(=O)c2cccnc2Oc3ccccc3)cc1
CHEMBL1076211,188,1.65,CC(CN1CCCCC1)C(=O)c2ccc(C)cc2
CHEMBL1951022,189,2.8,CC(C)OC(=O)N1CCC(CC1)Oc2ncnc(Nc3ccc(nc3C)S(=O)(=O)C)c2C
CHEMBL1987793,190,3.89,Cc1ccccc1c2c(C(=O)O)n(CCCOc3cccc4ccccc34)c5ccccc25
CHEMBL1947155,191,2.28,C[C@@H](NCc1ccccc1c2ccc(CCNC[C@H](O)c3ccc(O)c4NC(=O)Sc34)cc2)c5ccccc5
CHEMBL1939418,192,2.75,Nc1nc(Nc2ccc(F)c(Cl)c2)c3nc[nH]c3n1
CHEMBL398295,193,3.97,CCCSc1nc(N[C@@H]2C[C@H]2c3ccccc3)c4nnn([C@@H]5C[C@H](O)[C@@H](O)[C@H]5O)c4n1
CHEMBL174107,194,-0.84,CSc1ccc(cc1)N2C(=NC(=NC2(C)C)N)N
CHEMBL2089280,195,1.6,C[C@@H]1N[S@@](=O)(=NC1=O)c2cccc(c2)c3ccc(C)cc3
CHEMBL139347,196,2.4,Nc1nc(N)nc(n1)c2cccc(c2)C(F)(F)F
CHEMBL1623,197,3.39,Cc1cccc(CN2CCN(CC2)C(c3ccccc3)c4ccc(Cl)cc4)c1
CHEMBL2171034,198,1.79,Fc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4
CHEMBL1689115,199,1.01,OC(=O)COc1ccc(Cl)cc1CN2CCCN(CC2)S(=O)(=O)Cc3ccccc3
CHEMBL1628691,200,3.62,Clc1cccc(c1Cl)n2nnnc2NCc3ccccc3Oc4ccccn4
CHEMBL1515447,201,2.36,CN1CCCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3
CHEMBL559968,202,1.29,Clc1ccccc1CCNC(=O)c2cc(ccc2Cl)N3N=CC(=O)NC3=O
CHEMBL1180299,203,1.1,Clc1ccc2C(=O)C3=C(Nc2c1)C(=O)NN(Cc4ccccn4)C3=O
CHEMBL2335897,204,2.15,C[C@@H](NC(=O)[C@H]1CCCCN1)c2ccc(Nc3ncc4cc(ccc4n3)c5ccncc5)cc2
CHEMBL204476,205,1.98,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3cccc4ncccc34)c2C(=O)N5CC[C@@H](O)C5
CHEMBL2164680,206,3.5,C[C@H](NC(=O)[C@@H]1CCCC[C@H]1C(=O)N2CCc3[nH]c4ccc(F)cc4c3C2)C#N
CHEMBL109396,207,1.17,CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NS(=O)(=O)N)C(=O)C(F)(F)F
CHEMBL551765,208,2.53,OC(=O)C1CCN(CC1)c2ncccc2c3ccc(Cl)c(c3)C(=O)NCC4CCCCCC4
CHEMBL14690,209,1.13,Clc1ccc(CNC(=N)SCCCc2c[nH]cn2)cc1
CHEMBL2089276,210,1.3,Cc1ccc(cc1)c2cccc(c2)c3nn[nH]n3
CHEMBL1917461,211,0.35,Cc1ccc2c(n1)c(Sc3ccc(Cl)cc3)c(C)n2CC(=O)O
CHEMBL366080,212,1.8,CN(C1CCN(C)CC1)c2nccc(Nc3cc(NC(=O)c4ccnc(c4)N5CCOCC5)ccc3C)n2
CHEMBL306262,213,3.2,CCCCCC[C@H]1OC(=O)CNC(=O)[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H]1C)[C@H](C)CC)[C@H](C)O
CHEMBL1950724,214,0.82,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCN(C2)C(=O)c3ccccc3
CHEMBL2059864,215,3.19,Cc1cnc([nH]1)c2ccc(C)c(NC(=O)c3ccc(OCc4ccccn4)cc3)c2
CHEMBL1165028,216,3.3,O=C(NCCSCc1ccccc1)c2ccccc2
CHEMBL2158836,217,2.5,OC(=O)[C@@H](Cc1ccccc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
CHEMBL205807,218,2.35,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3c[nH]c4ccccc34)c2C(=O)N5CC[C@@H](O)C5
CHEMBL576068,219,1.73,C[C@H](Nc1cnc(C)c(Nc2cc(C)[nH]n2)n1)c3ccc(F)cn3
CHEMBL142715,220,3.3,C(CN1CCCCC1)C2CCc3cc(OCc4ccc(cc4)c5ccccc5)ccc3C2
CHEMBL409493,221,2.31,Nc1ccccc1NC(=O)c2ccc(cc2)C3CCN(Cc4ccc(cc4)C(=O)NC5CC5)CC3
